
PING github.com (20.207.73.82) 56(84) bytes of data.
64 bytes from 20.207.73.82: icmp_seq=327 ttl=113 time=28.7 ms
64 bytes from 20.207.73.82: icmp_seq=328 ttl=113 time=11.1 ms
64 bytes from 20.207.73.82: icmp_seq=329 ttl=113 time=11.6 ms
64 bytes from 20.207.73.82: icmp_seq=330 ttl=113 time=8.52 ms
64 bytes from 20.207.73.82: icmp_seq=331 ttl=113 time=9.14 ms
64 bytes from 20.207.73.82: icmp_seq=332 ttl=113 time=7.70 ms
64 bytes from 20.207.73.82: icmp_seq=333 ttl=113 time=9.16 ms
64 bytes from 20.207.73.82: icmp_seq=334 ttl=113 time=40.4 ms
64 bytes from 20.207.73.82: icmp_seq=335 ttl=113 time=16.3 ms
64 bytes from 20.207.73.82: icmp_seq=336 ttl=113 time=9.52 ms
64 bytes from 20.207.73.82: icmp_seq=337 ttl=113 time=10.9 ms
64 bytes from 20.207.73.82: icmp_seq=338 ttl=113 time=8.84 ms
64 bytes from 20.207.73.82: icmp_seq=339 ttl=113 time=8.44 ms
64 bytes from 20.207.73.82: icmp_seq=340 ttl=113 time=8.86 ms
64 bytes from 20.207.73.82: icmp_seq=341 ttl=113 time=8.52 ms
64 bytes from 20.207.73.82: icmp_seq=342 ttl=113 time=8.18 ms
64 bytes from 20.207.73.82: icmp_seq=343 ttl=113 time=9.20 ms
64 bytes from 20.207.73.82: icmp_seq=344 ttl=113 time=8.13 ms
64 bytes from 20.207.73.82: icmp_seq=345 ttl=113 time=9.19 ms
64 bytes from 20.207.73.82: icmp_seq=346 ttl=113 time=12.8 ms
64 bytes from 20.207.73.82: icmp_seq=348 ttl=113 time=10.7 ms
64 bytes from 20.207.73.82: icmp_seq=349 ttl=113 time=8.28 ms
64 bytes from 20.207.73.82: icmp_seq=350 ttl=113 time=13.5 ms
64 bytes from 20.207.73.82: icmp_seq=351 ttl=113 time=9.80 ms
64 bytes from 20.207.73.82: icmp_seq=352 ttl=113 time=8.65 ms
64 bytes from 20.207.73.82: icmp_seq=353 ttl=113 time=22.3 ms
64 bytes from 20.207.73.82: icmp_seq=354 ttl=113 time=9.16 ms
64 bytes from 20.207.73.82: icmp_seq=355 ttl=113 time=7.81 ms
64 bytes from 20.207.73.82: icmp_seq=356 ttl=113 time=106 ms
64 bytes from 20.207.73.82: icmp_seq=357 ttl=113 time=103 ms
64 bytes from 20.207.73.82: icmp_seq=358 ttl=113 time=96.0 ms
64 bytes from 20.207.73.82: icmp_seq=359 ttl=113 time=87.1 ms
64 bytes from 20.207.73.82: icmp_seq=360 ttl=113 time=76.0 ms
64 bytes from 20.207.73.82: icmp_seq=361 ttl=113 time=489 ms
64 bytes from 20.207.73.82: icmp_seq=362 ttl=113 time=280 ms
64 bytes from 20.207.73.82: icmp_seq=363 ttl=113 time=79.4 ms
64 bytes from 20.207.73.82: icmp_seq=364 ttl=113 time=69.9 ms
64 bytes from 20.207.73.82: icmp_seq=365 ttl=113 time=72.7 ms
64 bytes from 20.207.73.82: icmp_seq=366 ttl=113 time=84.0 ms
64 bytes from 20.207.73.82: icmp_seq=367 ttl=113 time=81.0 ms
64 bytes from 20.207.73.82: icmp_seq=368 ttl=113 time=82.4 ms
64 bytes from 20.207.73.82: icmp_seq=370 ttl=113 time=108 ms
64 bytes from 20.207.73.82: icmp_seq=371 ttl=113 time=109 ms
64 bytes from 20.207.73.82: icmp_seq=372 ttl=113 time=86.9 ms
64 bytes from 20.207.73.82: icmp_seq=373 ttl=113 time=52.2 ms
64 bytes from 20.207.73.82: icmp_seq=374 ttl=113 time=8.77 ms
64 bytes from 20.207.73.82: icmp_seq=375 ttl=113 time=35.5 ms
64 bytes from 20.207.73.82: icmp_seq=376 ttl=113 time=8.69 ms
64 bytes from 20.207.73.82: icmp_seq=377 ttl=113 time=19.6 ms
64 bytes from 20.207.73.82: icmp_seq=378 ttl=113 time=7.62 ms
64 bytes from 20.207.73.82: icmp_seq=379 ttl=113 time=23.8 ms
64 bytes from 20.207.73.82: icmp_seq=380 ttl=113 time=13.6 ms
64 bytes from 20.207.73.82: icmp_seq=381 ttl=113 time=10.9 ms
64 bytes from 20.207.73.82: icmp_seq=382 ttl=113 time=7.94 ms
64 bytes from 20.207.73.82: icmp_seq=383 ttl=113 time=60.8 ms
64 bytes from 20.207.73.82: icmp_seq=384 ttl=113 time=10.6 ms
64 bytes from 20.207.73.82: icmp_seq=385 ttl=113 time=8.72 ms
64 bytes from 20.207.73.82: icmp_seq=386 ttl=113 time=8.76 ms
